=== COMPOSITION hunt (18×18 · N=20000 · MAXARG=2000000 · exact int) ===

[A] comp(n) = k·n   (superperfect = σ∘σ, k=2)
[B] comp(n) = af(h,n) + n   (σ∘σ=σ+n ⟺ σ prime · Mersenne)
[C] comp(n) = af(h,n)   (σ∘φ=n, φ∘σ=n classical)
[D] comp1(n) = comp2(n)   (composition vs composition · low-growth subset)

======================================================================

── Frame A (=k·n): bounded=284  universal/structural=9
   [NOVEL?]                   ω∘Ω = σ∘ω                      sol=[4, 8, 9, 16, 25, 27, 32, 49, 81, 121, 125, 128]
   [NOVEL?]                   ω∘Ω = ψ∘ω                      sol=[4, 8, 9, 16, 25, 27, 32, 49, 81, 121, 125, 128]
   [NOVEL?]                   J₂∘sopfr = ψ                   sol=[2, 30, 36, 42, 64, 70, 105, 110, 112, 154, 231, 276]
   [NOVEL?]                   rad∘φ = φ∘τ                    sol=[2, 4, 6, 8, 10, 12, 15, 20, 32, 34, 36, 51]
   [NOVEL?]                   rad∘φ = ω∘τ                    sol=[2, 12, 20, 32, 48, 60, 68, 80, 96, 160, 192, 204]
   [NOVEL?]                   sopfr∘σ = core∘ψ               sol=[30, 46, 51, 55, 71, 290, 358, 445, 493, 1402, 1626, 2121]
   [NOVEL?]                   sopfr∘σ = n∘sopfr              sol=[5, 14, 21, 70, 105, 132, 156, 660, 684, 775, 780, 1056]
   [NOVEL?]                   sopfr∘σ = sopfr                sol=[5, 14, 21, 70, 105, 132, 156, 660, 684, 775, 780, 1056]
   [NOVEL?]                   sopfr∘σ = sopfr∘n              sol=[5, 14, 21, 70, 105, 132, 156, 660, 684, 775, 780, 1056]
   [NOVEL?]                   φ∘sopfr = sopfr∘rad            sol=[4, 8, 225, 588, 650, 1008, 1134, 1183, 1215, 1500, 1521, 1573]
   [NOVEL?]                   core∘Ω = 2^ω                   sol=[16, 81, 384, 576, 625, 640, 864, 896, 1296, 1408, 1600, 1664]
   [NOVEL?]                   sopfr∘rad = τ∘ψ                sol=[2, 3, 15, 42, 117, 228, 459, 475, 507, 532, 765, 783]
   [NOVEL?]                   sopfr∘φ = rad∘sopfr            sol=[4, 51, 380, 456, 666, 1207, 1751, 1781, 1865, 2317, 2337, 2479]
   [NOVEL?]                   sopfr∘ψ = core∘ψ               sol=[30, 36, 40, 44, 45, 46, 51, 55, 71, 290, 356, 358]
   [NOVEL?]                   μ∘J₃ = μ²                      sol=[3, 4, 8, 9, 11, 12, 16, 18, 20, 23, 24, 25]
   [NOVEL?]                   τ∘rad = core∘Ω                 sol=[16, 81, 384, 576, 625, 640, 864, 896, 1296, 1408, 1600, 1664]
